"country";"GENC";"continent";"education_expenditures";"net_migration_rate";"youth_unempl_rate";"income_class";"subcontinent"
"Comoros";"COM";"Africa";2.5;-2.3;19.5;"LM";"Sub-Saharan Africa"
"Congo, Democratic Republic of the";"COD";"Africa";1.5;-0.9;8.7;"L";"Sub-Saharan Africa"
"Congo, Republic of the";"COG";"Africa";3.5;-0.9;.;"LM";.
"Cook Islands";"COK";"Oceania";4.7;-29.9;.;.;"Polynesia"
"Costa Rica";"CRI";"Latin America and the Caribbean";7;0.8;20.6;"UM";"Latin America and the Caribbean"
"Cote d'Ivoire";"CIV";"Africa";3.3;1.2;5.5;"LM";.
"Croatia";"HRV";"Europe";3.9;-1;23.7;"H";"Southern Europe"
"Cuba";"CUB";"Latin America and the Caribbean";12.8;-3.7;6.1;"UM";"Latin America and the Caribbean"
"Curacao";"CUW";"Latin America and the Caribbean";4.9;-1.3;29.3;"H";.
"Cyprus";"CYP";"Asia";5.8;7.6;20.2;"H";"Western Asia"
"Czechia";"CZE";"Europe";3.9;2.3;6.7;"H";"Eastern Europe"
"Denmark";"DNK";"Europe";7.8;2.8;9.4;"H";"Northern Europe"
"Djibouti";"DJI";"Africa";3.6;5.1;.;"LM";"Sub-Saharan Africa"
"Dominica";"DMA";"Latin America and the Caribbean";5.6;-5.3;.;"UM";"Latin America and the Caribbean"
"Dominican Republic";"DOM";"Latin America and the Caribbean";.;-2.7;13.5;"UM";"Latin America and the Caribbean"
"Ecuador";"ECU";"Latin America and the Caribbean";5;0;7.9;"UM";"Latin America and the Caribbean"
"Egypt";"EGY";"Africa";.;-0.3;29.6;"LM";"Northern Africa"
"El Salvador";"SLV";"Latin America and the Caribbean";3.6;-4.8;9.6;"LM";"Latin America and the Caribbean"
"Equatorial Guinea";"GNQ";"Africa";.;0;.;"UM";"Sub-Saharan Africa"
"Eritrea";"ERI";"Africa";.;-11.6;.;"L";"Sub-Saharan Africa"
"Estonia";"EST";"Europe";5;-3.1;11.8;"H";"Northern Europe"
"Eswatini";"SWZ";"Africa";7.1;-6.8;47.1;"LM";"Sub-Saharan Africa"
"Ethiopia";"ETH";"Africa";4.7;-0.2;25.2;"L";"Sub-Saharan Africa"
"Faroe Islands";"FRO";"Europe";.;0;.;"H";"Northern Europe"
"Fiji";"FJI";"Oceania";3.9;-6.2;15.4;"UM";"Melanesia"
"Finland";"FIN";"Europe";6.4;2.6;17;"H";"Northern Europe"
"France";"FRA";"Europe";5.5;1.1;20.8;"H";"Western Europe"
"French Polynesia";"PYF";"Oceania";.;-0.7;56.7;"H";"Polynesia"
"Gabon";"GAB";"Africa";2.7;3.9;35.7;"UM";"Sub-Saharan Africa"
"Gambia, The";"GMB";"Africa";2.4;-1.6;13.1;"L";.
"Gaza Strip";"XGZ";.;5.3;-4.7;42.2;.;.
"Georgia";"GEO";"Asia";3.5;0.1;29.9;"UM";"Western Asia"
"Germany";"DEU";"Europe";4.9;1.5;6.2;"H";"Western Europe"
"Ghana";"GHA";"Africa";4;-1.6;9.1;"LM";"Sub-Saharan Africa"
"Gibraltar";"GIB";"Europe";.;-3.3;.;"H";"Southern Europe"
"Greece";"GRC";"Europe";.;0.9;39.9;"H";"Southern Europe"
"Greenland";"GRL";"Northern America";.;-6;.;"H";"Northern America"
"Grenada";"GRD";"Latin America and the Caribbean";3.2;-2.6;.;"UM";"Latin America and the Caribbean"
"Guam";"GUM";"Oceania";.;-11;29.4;"H";"Micronesia"
"Guatemala";"GTM";"Latin America and the Caribbean";3.2;-1.7;5;"UM";"Latin America and the Caribbean"
"Guernsey";"GGY";"Europe";.;1.9;.;.;"Northern Europe"
"Guinea";"GIN";"Africa";2.3;0;1;"L";"Sub-Saharan Africa"
"Guinea-Bissau";"GNB";"Africa";2.1;-3.8;.;"L";"Sub-Saharan Africa"
"Guyana";"GUY";"Latin America and the Caribbean";5.5;0;21.5;"UM";"Latin America and the Caribbean"
"Haiti";"HTI";"Latin America and the Caribbean";2.8;-1.9;.;"LM";"Latin America and the Caribbean"
"Honduras";"HND";"Latin America and the Caribbean";6.1;-1.4;10.7;"LM";"Latin America and the Caribbean"
"Hong Kong";"HKG";"Asia";3.8;1.7;8.7;"H";"Eastern Asia"
"Hungary";"HUN";"Europe";4.7;1.3;10.2;"H";"Eastern Europe"
"Iceland";"ISL";"Europe";7.7;3.3;6.1;"H";"Northern Europe"
"India";"IND";"Asia";3.8;0;22.5;"LM";"Southern Asia"
"Indonesia";"IDN";"Asia";3.6;-1.1;16.5;"LM";"South-eastern Asia"
"Iran";"IRN";"Asia";4;-0.3;27.6;"LM";.
"Iraq";"IRQ";"Asia";.;-0.5;25.6;"UM";"Western Asia"
"Ireland";"IRL";"Europe";3.5;3.9;13.8;"H";"Northern Europe"
"Isle of Man";"IMN";"Europe";.;5.2;10.1;"H";"Northern Europe"
"Israel";"ISR";"Asia";6.1;2.1;7.2;"H";"Western Asia"
"Italy";"ITA";"Europe";4;3.2;32.2;"H";"Southern Europe"
"Jamaica";"JAM";"Latin America and the Caribbean";5.2;-9.4;24.2;"UM";"Latin America and the Caribbean"
"Japan";"JPN";"Asia";3.2;0;3.6;"H";"Eastern Asia"
"Jersey";"JEY";"Europe";.;2.3;.;.;"Northern Europe"
"Jordan";"JOR";"Asia";3.1;-11.3;35.6;"UM";"Western Asia"
"Kazakhstan";"KAZ";"Asia";2.6;0.4;3.8;"UM";"Central Asia"
"Kenya";"KEN";"Africa";5.3;-0.2;7.4;"LM";"Sub-Saharan Africa"
"Kiribati";"KIR";"Oceania";.;-2.8;17.1;"LM";"Micronesia"
"Korea, North";"PRK";"Asia";.;0;.;"L";.
"Korea, South";"KOR";"Asia";4.3;2.3;10.2;"H";.
"Kosovo";"XKS";.;.;-1.8;55.4;.;.
"Kuwait";"KWT";"Asia";.;-3.3;15.4;"H";"Western Asia"
"Kyrgyzstan";"KGZ";"Asia";6;-5;14.2;"LM";"Central Asia"
"Laos";"LAO";"Asia";2.9;-1;18.2;"LM";.
"Latvia";"LVA";"Europe";4.4;-5.9;12.2;"H";"Northern Europe"
"Lebanon";"LBN";"Asia";2.5;-88.7;.;"UM";"Western Asia"
"Lesotho";"LSO";"Africa";7;-6.1;34.4;"LM";"Sub-Saharan Africa"
"Liberia";"LBR";"Africa";2.6;-2.9;2.3;"L";"Sub-Saharan Africa"
"Libya";"LBY";"Africa";.;-0.7;48.7;"UM";"Northern Africa"
"Liechtenstein";"LIE";"Europe";2.6;4.9;.;"H";"Western Europe"
"Lithuania";"LTU";"Europe";3.8;-5.9;11.1;"H";"Northern Europe"
"Luxembourg";"LUX";"Europe";3.6;13.3;14.2;"H";"Western Europe"
"Macau";"MAC";"Asia";2.7;3.3;5.3;"H";.
"Madagascar";"MDG";"Africa";2.8;0;1;"L";"Sub-Saharan Africa"
"Malawi";"MWI";"Africa";4.7;0;40.5;"L";"Sub-Saharan Africa"
"Malaysia";"MYS";"Asia";4.2;-0.3;10.5;"UM";"South-eastern Asia"
"Maldives";"MDV";"Asia";4.1;-12.7;15.9;"UM";"Southern Asia"
"Mali";"MLI";"Africa";3.8;-3.9;16.9;"L";"Sub-Saharan Africa"
"Malta";"MLT";"Europe";4.8;6.6;9.1;"H";"Southern Europe"
"Marshall Islands";"MHL";"Oceania";.;-4.5;11;"UM";"Micronesia"
"Mauritania";"MRT";"Africa";1.9;-0.8;15.2;"LM";"Sub-Saharan Africa"
"Mauritius";"MUS";"Africa";4.7;0;23.9;"UM";"Sub-Saharan Africa"
"Mexico";"MEX";"Latin America and the Caribbean";4.5;-1.9;6.9;"UM";"Latin America and the Caribbean"
"Micronesia, Federated States of";"FSM";"Oceania";12.5;-20.9;18.9;"LM";"Micronesia"
"Moldova";"MDA";"Europe";5.4;-9;7.4;"UM";.
"Monaco";"MCO";"Europe";1.5;8.3;26.6;"H";"Western Europe"
"Mongolia";"MNG";"Asia";4.1;-0.8;16.8;"LM";"Eastern Asia"
"Montenegro";"MNE";"Europe";.;-4.9;29.4;"UM";"Southern Europe"
"Montserrat";"MSR";"Latin America and the Caribbean";8.8;0;.;.;"Latin America and the Caribbean"
"Morocco";"MAR";"Africa";.;-1.9;22.2;"LM";"Northern Africa"
"Mozambique";"MOZ";"Africa";5.5;-1.7;7.4;"L";"Sub-Saharan Africa"
"Namibia";"NAM";"Africa";3.1;0;38;"UM";"Sub-Saharan Africa"
"Nauru";"NRU";"Oceania";.;-11.3;26.6;"H";"Micronesia"
"Nepal";"NPL";"Asia";5.1;-3.1;21.4;"LM";"Southern Asia"
"Netherlands";"NLD";"Europe";5.2;1.9;7.2;"H";.
"New Caledonia";"NCL";"Oceania";.;3.8;38.4;"H";"Melanesia"
"New Zealand";"NZL";"Oceania";6.3;8;11.5;"H";"Australia and New Zealand"
"Nicaragua";"NIC";"Latin America and the Caribbean";4.4;-2.4;8.5;"LM";"Latin America and the Caribbean"
"Niger";"NER";"Africa";3.5;-0.7;0.7;"L";"Sub-Saharan Africa"
"Nigeria";"NGA";"Africa";.;-0.2;13.8;"LM";"Sub-Saharan Africa"
"North Macedonia";"MKD";"Europe";.;0.4;45.4;"UM";"Southern Europe"
"Northern Mariana Islands";"MNP";"Oceania";.;-15.4;.;"H";"Micronesia"
"Norway";"NOR";"Europe";7.9;4;9.7;"H";"Northern Europe"
"Oman";"OMN";"Asia";6.8;-0.4;13.7;"H";"Western Asia"
"Pakistan";"PAK";"Asia";2.9;-0.9;7.8;"LM";"Southern Asia"
"Palau";"PLW";"Oceania";.;0.9;5.6;"H";"Micronesia"
"Panama";"PAN";"Latin America and the Caribbean";3.2;-0.1;10.2;"UM";"Latin America and the Caribbean"
"Papua New Guinea";"PNG";"Oceania";1.9;0;3.6;"LM";"Melanesia"
"Paraguay";"PRY";"Latin America and the Caribbean";3.4;-0.1;14.5;"UM";"Latin America and the Caribbean"
"Peru";"PER";"Latin America and the Caribbean";3.8;-1.8;14.7;"UM";"Latin America and the Caribbean"
"Philippines";"PHL";"Asia";.;-1.8;6.7;"LM";"South-eastern Asia"
"Poland";"POL";"Europe";4.6;-0.3;11.7;"H";"Eastern Europe"
"Portugal";"PRT";"Europe";5;0.3;20.3;"H";"Southern Europe"
"Puerto Rico";"PRI";"Latin America and the Caribbean";6.1;-14.1;26.6;"H";"Latin America and the Caribbean"
"Qatar";"QAT";"Asia";2.7;6.5;0.4;"H";"Western Asia"
"Romania";"ROU";"Europe";3.1;-0.2;16.2;"UM";"Eastern Europe"
"Russia";"RUS";"Europe";4.7;1.7;17;"UM";.
"Rwanda";"RWA";"Africa";3.1;-3.3;20.6;"L";"Sub-Saharan Africa"
"Saint Barthelemy";"BLM";"Latin America and the Caribbean";.;-3;.;.;.
"Saint Helena, Ascension, and Tristan da Cunha";"SHN";"Africa";.;0;.;.;.
"Saint Kitts and Nevis";"KNA";"Latin America and the Caribbean";2.6;1.2;.;"H";"Latin America and the Caribbean"
"Saint Lucia";"LCA";"Latin America and the Caribbean";3.3;-1.7;46.2;"UM";"Latin America and the Caribbean"
"Saint Martin";"MAF";"Latin America and the Caribbean";.;-6;.;"H";.
"Saint Pierre and Miquelon";"SPM";"Northern America";.;-7.7;.;.;"Northern America"
"Saint Vincent and the Grenadines";"VCT";"Latin America and the Caribbean";5.7;-7.2;.;"UM";"Latin America and the Caribbean"
"Samoa";"WSM";"Oceania";4.2;-8.1;31.9;"LM";"Polynesia"
"San Marino";"SMR";"Europe";3.6;6.6;27.4;"H";"Southern Europe"
"Sao Tome and Principe";"STP";"Africa";5.1;-7.9;20.8;"LM";"Sub-Saharan Africa"
"Saudi Arabia";"SAU";"Asia";.;4.7;28.8;"H";"Western Asia"
"Senegal";"SEN";"Africa";4.8;-1.3;8.1;"LM";"Sub-Saharan Africa"
"Serbia";"SRB";"Europe";3.6;0;29.7;"UM";"Southern Europe"
"Seychelles";"SYC";"Africa";4.4;1;11.6;"H";"Sub-Saharan Africa"
"Sierra Leone";"SLE";"Africa";7.7;-1.2;9.4;"L";"Sub-Saharan Africa"
"Singapore";"SGP";"Asia";2.9;11.8;9.1;"H";"South-eastern Asia"
"Sint Maarten";"SXM";"Latin America and the Caribbean";.;6;.;"H";.
"Slovakia";"SVK";"Europe";3.9;0.2;14.9;"H";"Eastern Europe"
"Slovenia";"SVN";"Europe";4.8;1.5;8.8;"H";"Southern Europe"
"Solomon Islands";"SLB";"Oceania";9.9;-1.6;1.3;"LM";"Melanesia"
"Somalia";"SOM";"Africa";.;-3.8;.;"L";"Sub-Saharan Africa"
"South Africa";"ZAF";"Africa";6.5;-0.2;53.4;"UM";"Sub-Saharan Africa"
"South Sudan";"SSD";"Africa";1.5;0.2;38.6;"L";"Sub-Saharan Africa"
"Spain";"ESP";"Europe";4.2;7;34.3;"H";"Southern Europe"
"Sri Lanka";"LKA";"Asia";2.1;-1.3;21;"LM";"Southern Asia"
"Sudan";"SDN";"Africa";.;-0.4;.;"L";"Northern Africa"
"Suriname";"SUR";"Latin America and the Caribbean";.;0.5;13.4;"UM";"Latin America and the Caribbean"
"Sweden";"SWE";"Europe";7.6;5.2;16.8;"H";"Northern Europe"
"Switzerland";"CHE";"Europe";5.1;4.6;7.9;"H";"Western Europe"
"Syria";"SYR";"Asia";.;27.1;35.8;"L";.
"Taiwan";"TWN";.;.;0.8;.;"H";.
"Tajikistan";"TJK";"Asia";5.2;-1.1;.;"LM";"Central Asia"
"Tanzania";"TZA";"Africa";3.4;-0.4;3.9;"LM";.
"Thailand";"THA";"Asia";4.1;0;3.7;"UM";"South-eastern Asia"
"Timor-Leste";"TLS";"Asia";6.8;-3.9;13.2;"LM";"South-eastern Asia"
"Togo";"TGO";"Africa";5.4;0;3.9;"L";"Sub-Saharan Africa"
"Tonga";"TON";"Oceania";.;-17.9;.;"UM";"Polynesia"
"Trinidad and Tobago";"TTO";"Latin America and the Caribbean";.;-5.4;8.7;"H";"Latin America and the Caribbean"
"Tunisia";"TUN";"Africa";6.6;-1.4;35;"LM";"Northern Africa"
"Turkey (Turkiye)";"TUR";"Asia";4.3;-4.3;20.2;"UM";.
"Turkmenistan";"TKM";"Asia";3.1;-1.7;.;"UM";"Central Asia"
"Turks and Caicos Islands";"TCA";"Latin America and the Caribbean";2.9;8.9;.;"H";"Latin America and the Caribbean"
"Tuvalu";"TUV";"Oceania";.;-6.5;20.6;"UM";"Polynesia"
"Uganda";"UGA";"Africa";2.1;-3.5;14.8;"L";"Sub-Saharan Africa"
"Ukraine";"UKR";"Europe";5.4;2.3;17.9;"LM";"Eastern Europe"
"United Arab Emirates";"ARE";"Asia";.;7.6;6.9;"H";"Western Asia"
"United Kingdom";"GBR";"Europe";5.4;2.5;11.3;"H";"Northern Europe"
"United States";"USA";"Northern America";5;3;8.6;"H";"Northern America"
"Uruguay";"URY";"Latin America and the Caribbean";5;-0.9;25.9;"H";"Latin America and the Caribbean"
"Uzbekistan";"UZB";"Asia";5.3;-1.9;.;"LM";"Central Asia"
"Vanuatu";"VUT";"Oceania";4.5;-1.3;.;"LM";"Melanesia"
"Venezuela";"VEN";"Latin America and the Caribbean";.;-3.4;14.6;.;.
"Vietnam";"VNM";"Asia";4.2;-0.3;6.9;"LM";.
"Virgin Islands";"VIR";"Latin America and the Caribbean";.;-7.5;.;"H";.
"Wallis and Futuna";"WLF";"Oceania";.;-4.3;.;.;"Polynesia"
"West Bank";"XWB";.;5.3;-4.2;42.2;.;.
"Yemen";"YEM";"Asia";.;-0.2;24.5;"L";"Western Asia"
"Zambia";"ZMB";"Africa";4.6;0;24;"LM";"Sub-Saharan Africa"
"Zimbabwe";"ZWE";"Africa";5.9;-5;16.5;"LM";"Sub-Saharan Africa"
